,PrimaryDI,brandName,versionModelNumber,companyName,deviceDescription,sizeText,productCode,deviceId,gmdnPTName,gmdnPTDefinition
10,d6e414ce-cfcc-4121-ba23-160023d8bd68,MENTOR Smooth Round Moderate Plus Profile,3502800,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 800cc",440 cc,FWM,81317001539,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
11,40b628c7-5a4f-4e19-b22b-ade7fc04c209,MENTOR Smooth Round Moderate Plus Profile,3502275,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 275cc",150 cc,FWM,81317001386,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
12,89bab6a5-f7b3-4c67-ac49-2a46114b9b14,MENTOR Smooth Round Moderate Profile,3501655,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 350cc",750 cc,FWM,81317001263,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
13,58a2ab9a-e01b-4bce-9ef9-e4c5ffacf0df,MENTOR Smooth Round Moderate Profile,3501650,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 325cc",550 cc,FWM,81317001256,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
14,d9ed7815-f919-419d-a269-47ca9f45268c,MENTOR Smooth Round Moderate Profile,3501620,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 175cc",200 cc,FWM,81317001195,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
15,42f2dfab-169a-4611-9a1b-62fe48356dd5,MENTOR Smooth Round Moderate Profile,3501610,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 125cc",510 cc,FWM,81317001171,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
16,53b68134-589b-443e-87b2-2fae511c5117,NATRELLE Saline-Filled Breast Implants,468-270,"Allergan, Inc.",NATRELLE 468-270 Saline BIOCELL Shp Full,390 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
17,f393e95a-44de-44f1-9bfe-3f786dadb6da,NATRELLE Saline-Filled Breast Implants,468-230,"Allergan, Inc.",NATRELLE 468-230 Saline BIOCELL Shp Full,"Total Volume, 335 cc",FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
18,94a7fd79-13ea-4a0a-9a3f-c849b1eb2f3b,NATRELLE Saline-Filled Breast Implants,363LF-510,"Allergan, Inc.",NATRELLE 363LF-510 Sal BIOCELL Shp Full,"Total Volume, 300 cc",FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
19,97bc82c2-a2b9-430d-a94e-f27021a8c9c7,NATRELLE Saline-Filled Breast Implants,363LF-230,"Allergan, Inc.",NATRELLE 363LF-230 Sal BIOCELL Shp Full,195 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
20,6f5a66e9-3de6-4ce7-bf3b-889a1d14e0e6,NATRELLE Saline-Filled Breast Implants,168-750,"Allergan, Inc.",NATRELLE 168-750 Saline BIOCELL Rnd Mod,690 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
21,aa62cdf2-986c-4cc7-8e66-76502870eb63,NATRELLE Saline-Filled Breast Implants,168-150,"Allergan, Inc.",NATRELLE 168-150 Saline BIOCELL Rnd Mod,620 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
22,459d5299-a14d-47f7-9951-847d4fbd83f5,NATRELLE Saline-Filled Breast Implants,163-530,"Allergan, Inc.","STYLE 163, 530CC IMPLANT",370 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
23,4ed6f8aa-8c58-44b3-ac3b-08fb0f665cca,NATRELLE Saline-Filled Breast Implants,163-440,"Allergan, Inc.","STYLE 163, 440CC IMPLANT",200 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
24,ded01b82-260a-467f-a332-c9405d709fd2,NATRELLE Saline-Filled Breast Implants,68LP-680,"Allergan, Inc.",NATRELLE Style 68LP-680 Saline Round Low,170 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
25,360586b3-327c-42a1-a73a-055f4d2ae37c,NATRELLE Saline-Filled Breast Implants,68LP-480,"Allergan, Inc.",NATRELLE Style 68LP-480 Saline Round Low,800 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
26,f85a2054-3ffd-4128-9484-e524d91b9489,NATRELLE Saline-Filled Breast Implants,68LP-440,"Allergan, Inc.",NATRELLE Style 68LP-440 Saline Round Low,480 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
27,b512b950-23d3-40eb-9caf-bf2246357c36,NATRELLE Saline-Filled Breast Implants,68LP-150,"Allergan, Inc.",NATRELLE Style 68LP-150 Saline Round Low,450 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
28,f1be1dbd-08b1-4dae-843c-02a3b424aa06,NATRELLE Saline-Filled Breast Implants,68HP-750,"Allergan, Inc.",NATRELLE Sty 68HP-750 Saline Round High,360 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
29,e45a3084-899e-4d25-a822-2a2925016400,NATRELLE Saline-Filled Breast Implants,68HP-550,"Allergan, Inc.",NATRELLE Sty 68HP-550 Saline Round High,330 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
30,20a7de13-623a-47cc-a0a0-adf7e27b2297,NATRELLE Saline-Filled Breast Implants,68HP-200,"Allergan, Inc.",NATRELLE Sty 68HP-200 Saline Round High,270 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
31,cb4b64b5-00bf-4f8a-af4a-a8b4c9295a5f,NATRELLE Saline-Filled Breast Implants,68-510,"Allergan, Inc.",NATRELLE Style 68MP-510 Saline Round Mod,780 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
32,67e029eb-3fab-424b-b3c1-3cd34f8e17c6,NATRELLE Saline-Filled Breast Implants,68-390,"Allergan, Inc.",NATRELLE Style 68MP-390 Saline Round Mod,640 cc,FWM,1.08886E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
33,f306a976-bc7c-40b1-ab52-68f2bd1311bb,IDEAL IMPLANT,33501,IDEAL IMPLANT INCORPORATED,"Round, smooth-surface, saline-filled breast implant.",200 cc,FWM,1.08518E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
34,c4d45b12-1a0f-4dc0-a73a-661ee9c7c4a2,IDEAL IMPLANT,30001,IDEAL IMPLANT INCORPORATED,"Round, smooth-surface, saline-filled breast implant.",125 cc,FWM,1.08518E+13,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
35,9e659433-a608-4992-b059-09b408f7c36b,MENTOR SILTEX Round SPECTRUM,3542480M,MENTOR TEXAS L.P.,"Post-Operatively Adjustable Saline Breast Implant, 475cc",800 cc,FWM,81317002123,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
36,235d1d77-0567-4643-accf-f483bd6e2d09,MENTOR SILTEX Round SPECTRUM,3542450M,MENTOR TEXAS L.P.,"Post-Operatively Adjustable Saline Breast Implant, 325cc",650 cc,FWM,81317002093,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
37,e30aad06-16b1-441a-bf43-c9df8f6388ab,MENTOR SILTEX Round SPECTRUM,3542430M,MENTOR TEXAS L.P.,"Post-Operatively Adjustable Saline Breast Implant, 225cc",320 cc,FWM,81317002079,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
38,d822cf87-d299-487c-9517-bdf8e1f77ebf,MENTOR Smooth Round SPECTRUM,3501480,MENTOR TEXAS L.P.,"Post Operatively Adjustable Saline Breast Implant, 475cc",280 cc,FWM,81317002024,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
39,f52062ea-2302-405e-9ae4-ce66cbe082dd,MENTOR Smooth Round SPECTRUM,3501470,MENTOR TEXAS L.P.,"Post Operatively Adjustable Saline Breast Implant, 425cc",240 cc,FWM,81317002017,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
40,f9e5472e-5318-491f-9778-ace3e6be864a,MENTOR SILTEX CONTOUR PROFILE High,3542712,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 350cc",800 cc,FWM,81317001911,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
41,7dc741e3-63df-4005-9f46-95ede092df10,MENTOR SILTEX CONTOUR PROFILE Moderate,3542915,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 525cc",650 cc,FWM,81317001898,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
42,643fc137-f2e3-45e7-b362-df6e95312be1,MENTOR SILTEX Round Moderate Profile,3542650,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 325cc",550 cc,FWM,81317001799,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
43,42ee63a5-3299-47f5-8cd4-e7171a263c03,MENTOR SILTEX Round Moderate Profile,3542620,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 175cc",480 cc,FWM,81317001737,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
44,34e23f04-b519-48b3-b598-4c66b340172e,MENTOR Smooth Round High Profile,3503500,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 500cc",420 cc,FWM,81317001683,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
45,7d564c9c-5548-42dc-9ff1-124afe0c6d9b,MENTOR Smooth Round High Profile,3503330,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 330cc",240 cc,FWM,81317001645,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
46,b65f15fb-f06e-4b72-9942-c89a4e3856f9,MENTOR Smooth Round High Profile,3503170,MENTOR TEXAS L.P.,"Saline Breast Implant with Diaphragm Valve, 170cc","Total Volume, 675 cc",FWM,81317001560,Saline-filled breast implant,"A sterile implantable device designed to reconstruct or augment the breast that is composed of a silicone rubber outer shell, made of polysiloxane(s), with a single lumen inflated with sterile isotonic saline to the desired size. The implant may be of fixed or adjustable volume and may be prefilled, partially filled, or empty and filled during the implantation procedure; the volume of saline solution in adjustable volume implants may be adjusted after implantation. The device may vary in shape, profile, volume, shell surface, and shell thickness."
